ParameterPath,Label,Stage,InitialValue,TunedValue,Multiplier,Log10Multiplier,Changed
angularRate.roll.Kp,Angular Rate Roll Kp,Angular Rate Roll-Pitch,192.002243650807,192.002243650807,1,0,0
angularRate.roll.Ki,Angular Rate Roll Ki,Angular Rate Roll-Pitch,36.7166740442623,36.7166740442623,1,0,0
angularRate.pitch.Kp,Angular Rate Pitch Kp,Angular Rate Roll-Pitch,116.955688320571,116.955688320571,1,0,0
angularRate.pitch.Ki,Angular Rate Pitch Ki,Angular Rate Roll-Pitch,324.349522335245,324.349522335245,1,0,0
angularRate.yaw.Kp,Angular Rate Yaw Kp,Angular Rate Yaw,513.270796124145,513.270796124145,1,0,0
angularRate.yaw.Ki,Angular Rate Yaw Ki,Angular Rate Yaw,48.9668949194481,48.9668949194481,1,0,0
attitude.roll.Kp,Roll Attitude Kp,Roll-Pitch Attitude,16.2440865261587,19.6991743037496,1.21269818847782,0.0837527288236797,1
attitude.pitch.Kp,Pitch Attitude Kp,Roll-Pitch Attitude,15.9794896676744,23.9692345015116,1.5,0.176091259055681,1
yaw.angle.Kp,Yaw Angle Kp,Yaw Angle,9.73729968814403,14.605949532216,1.5,0.176091259055681,1
vertical.velocity.Kp,Vertical Velocity Kp,Vertical Velocity,179.235177723946,179.235177723946,1,0,0
vertical.altitude.Kp,Vertical Position Kp,Vertical Position,0.29251183693788,0.29251183693788,1,0,0
horizontal.velocity.x.Kp,Horizontal Velocity X Kp,Horizontal Velocity,2.27880105953139,2.27880105953139,1,0,0
horizontal.velocity.x.Kd,Horizontal Velocity X Kd,Horizontal Velocity,0.0129600806350967,0.0129600806350967,1,0,0
horizontal.velocity.y.Kp,Horizontal Velocity Y Kp,Horizontal Velocity,0.957100556136435,0.957100556136435,1,0,0
horizontal.position.north.Kp,Horizontal Position North Kp,Horizontal Position,0.630229617983284,0.630229617983284,1,0,0
horizontal.position.east.Kp,Horizontal Position East Kp,Horizontal Position,0.922964403505628,0.922964403505628,1,0,0
