Level,Trajectory,Quantity,Axis,Unit,MeanError,RMSE,MAE,P95AbsoluteError,MaximumError
L1,T1,Position,N,m,-0.0577144558172563,0.281621736157919,0.225306940200667,0.540829865259831,0.627184782936779
L1,T1,Position,E,m,-0.109164680603111,0.281722419139587,0.217916232870978,0.582825799102294,0.800709850845899
L1,T1,Position,D,m,-0.0420132042605389,0.0799734675481697,0.0623822244942103,0.169775489529425,0.242087357042565
L1,T1,Velocity,N,m/s,-0.0156699367724683,0.0590703940867326,0.044404040158256,0.121709833627893,0.141014252281362
L1,T1,Velocity,E,m/s,-0.0161001812708073,0.0561809308787703,0.0434732632548622,0.12078135694144,0.161578167240577
L1,T1,Velocity,D,m/s,-0.00341548090967313,0.0230736308598245,0.0172156377104705,0.0487840732456005,0.0799909891183562
L1,T1,Attitude,Roll,deg,0.00437496789286439,0.0614908649145396,0.0521510567051309,0.120893541612137,0.151176276810919
L1,T1,Attitude,Pitch,deg,-0.037211614874391,0.0740023297997407,0.0545527473271826,0.1715417057435,0.215004539457653
L1,T1,Attitude,Yaw,deg,0.0180945495565845,0.0609764356157031,0.0485137350562402,0.113317649071223,0.142635711581525
L1,T1,Angular Rate,p,rad/s,-1.13478641400075e-05,0.00365021860589371,0.00291276419836638,0.00713518773800673,0.0155148797352242
L1,T1,Angular Rate,q,rad/s,-2.51973385736144e-06,0.0035823710905208,0.00285665655466304,0.00704339127164451,0.0146074251226779
L1,T1,Angular Rate,r,rad/s,-2.40816920732654e-05,0.00364768465790953,0.00291664740363657,0.00713137336209943,0.0142320070120634
L1,T1,Acceleration,N,m/s^2,-0.00906546087932706,0.0489001721420256,0.0390109193817747,0.0953017511721549,0.195950821020231
L1,T1,Acceleration,E,m/s^2,0.00448208595193444,0.0480449648424202,0.038230973406606,0.0939314529875557,0.182782596185412
L1,T1,Acceleration,D,m/s^2,-0.0352431907602563,0.0582154554594818,0.0470249356302068,0.113563532611291,0.220538418936453
L2,T1,Position,N,m,-0.055563013378243,0.27935213679894,0.223344166726983,0.546209871906138,0.633764847006469
L2,T1,Position,E,m,-0.101335500922894,0.277053352720166,0.213722224527257,0.581103275540082,0.790315675288353
L2,T1,Position,D,m,-0.0408349071616914,0.0792053349828932,0.0615311338275361,0.16910837270962,0.24191765562633
L2,T1,Velocity,N,m/s,-0.0126229334221313,0.0557933508141628,0.041729175795517,0.115231225240923,0.140974352496424
L2,T1,Velocity,E,m/s,-0.0182093554727224,0.0553890198014612,0.0430519636590876,0.119627917271993,0.161633172780835
L2,T1,Velocity,D,m/s,-0.00293154438629205,0.0229751418210489,0.017223586594769,0.0484066635874276,0.081207889886647
L2,T1,Attitude,Roll,deg,0.0105359398693643,0.0616301044282731,0.0535319471953857,0.107151965738517,0.13678628466293
L2,T1,Attitude,Pitch,deg,-0.0185542886627594,0.0608405068801279,0.0494138770870729,0.127219806667585,0.171548995259636
L2,T1,Attitude,Yaw,deg,2.4808841289198e-05,0.0488287310755457,0.0392883594554219,0.0921015256031325,0.125794543237458
L2,T1,Angular Rate,p,rad/s,-9.73758072042633e-06,0.00365499523870114,0.00291741412795241,0.00712721947358146,0.0155526945508211
L2,T1,Angular Rate,q,rad/s,-3.26043462320978e-07,0.00358110392210451,0.00285607210161605,0.00703290417800335,0.0146444273708777
L2,T1,Angular Rate,r,rad/s,-2.62003418666011e-05,0.00364544401437871,0.00291463388392959,0.00711711153038778,0.0140770329196198
L2,T1,Acceleration,N,m/s^2,-0.0109644050380668,0.0485874723443659,0.0387768448298128,0.0943557767097424,0.193834267356098
L2,T1,Acceleration,E,m/s^2,0.00177374417138799,0.0477305270463813,0.0380414325048593,0.0934986488590629,0.180693948110382
L2,T1,Acceleration,D,m/s^2,-0.0353308392893373,0.0582512037356998,0.0471011479890683,0.113364878313472,0.220715998271997
L1,T2,Position,N,m,-0.0598854953249622,0.265111668069691,0.196764437932233,0.583956041950862,0.826093895815431
L1,T2,Position,E,m,-0.0708861367228734,0.333388770267199,0.245848836724638,0.75158272885123,0.942687024715871
L1,T2,Position,D,m,-0.0298963682975958,0.0728031876993114,0.0567353003203848,0.155443342851673,0.237334860013373
L1,T2,Velocity,N,m/s,-0.00443962376146507,0.0618581418300461,0.0492573582728129,0.112014275225598,0.137531268050065
L1,T2,Velocity,E,m/s,-0.00136816797361943,0.0541275106782627,0.0424318233112218,0.110005367761802,0.1381533660353
L1,T2,Velocity,D,m/s,-0.00276371156114664,0.0203300003236483,0.0161150131950495,0.0419376680034395,0.0740342727940745
L1,T2,Attitude,Roll,deg,0.0155404183634196,0.0499551355326468,0.0408100760758369,0.0988391703865178,0.1256000928688
L1,T2,Attitude,Pitch,deg,0.0231663327924145,0.0510041352408781,0.0406903625143857,0.10083595994979,0.14272742113712
L1,T2,Attitude,Yaw,deg,-0.0279215041606247,0.0644296946645921,0.0536423475285962,0.114392760602471,0.138439966219551
