Level,Trajectory,PointIndex,Waypoint,TimeToWaypoint_s,ArrivalError3D_m,ArrivalErrorHorizontal_m,ArrivalErrorVertical_m,HoldRMSE_m,HoldMaxError_m,HoldStabilityStd_m,Overshoot_m
L1,T1,2,TAKEOFF,7.455,0.293004122762388,0.0941937609869284,0.277450808877707,0.245634828185393,0.293004122762388,0.0334978397228916,0
L1,T1,3,WP1,7.29,0.473143036582514,0.472848727795387,0.0166857330916699,0.431426123342024,0.473143036582514,0.0291249145206723,0
L1,T1,4,WP2,4.495,0.378622616558871,0.34558029048692,0.154691139361187,0.365633358518367,0.378622616558871,0.0545790522023853,0
L1,T1,5,WP3,10.62,0.752951364420307,0.752004517031352,0.0377486893394312,0.70046254109347,0.752951364420307,0.033296125400085,0
L1,T1,6,PRE-LAND,13.97,0.616887920938532,0.568414887383915,0.239698191065756,0.592797099979576,0.616887920938532,0.0154790131042015,0
L2,T1,2,TAKEOFF,7.505,0.294506393792906,0.0978040205468689,0.277791989714912,0.247596461547992,0.294506393792906,0.0338366373569797,0
L2,T1,3,WP1,7.39,0.496965812376159,0.496803211196123,0.012711727495363,0.47210412255854,0.497664365023701,0.0263361679463037,0
L2,T1,4,WP2,4.55,0.40423919219622,0.37944367846887,0.139398060881294,0.385710562376315,0.40423919219622,0.0492746549742582,0
L2,T1,5,WP3,10.805,0.732928097318882,0.732019941125097,0.0364746711388262,0.684441746379694,0.732928097318882,0.0317797019766275,0
L2,T1,6,PRE-LAND,14.445,0.576687505790183,0.529265249094527,0.229012609773809,0.563179613555086,0.576687505790183,0.0285955220634647,0
L1,T2,2,TAKEOFF,7.455,0.293004122762388,0.0941937609869284,0.277450808877707,0.245634828185393,0.293004122762388,0.0334978397228916,0
L1,T2,3,WP1,10.105,0.485417056139006,0.483656641143253,0.0413034123128528,0.489893212143967,0.536031110710589,0.0243601796853123,0
L1,T2,4,WP2,14.76,0.571199730071458,0.571193208227102,0.00272956204127395,0.509570862370822,0.571199730071458,0.0289360604321293,0
L1,T2,5,WP3,18.98,1.13786554751403,1.13002592719944,0.133339446813209,1.08348272072754,1.13786554751403,0.0340289816815317,0
L1,T2,6,PRE-LAND,10.885,0.157497900637345,0.150020854150454,0.0479513506080835,0.286995723138352,0.396305950578026,0.0785430995139178,0
L2,T2,2,TAKEOFF,7.505,0.294506393792906,0.0978040205468689,0.277791989714912,0.247596461547992,0.294506393792906,0.0338366373569797,0
L2,T2,3,WP1,10.095,0.524230212194578,0.52244886679952,0.0431798211838523,0.526051758058284,0.56695207444425,0.0216308794596806,0
L2,T2,4,WP2,14.73,0.550420387958073,0.550419811062053,0.000796912999470489,0.489223654311331,0.550420387958073,0.0286800575448327,0
L2,T2,5,WP3,18.99,1.15418294909972,1.14571755413125,0.139533387216213,1.0998393165885,1.15418294909972,0.034190339489471,0
L2,T2,6,PRE-LAND,10.88,0.138076278396158,0.128562955527957,0.0503649195536935,0.27387535786893,0.38274929770661,0.0819129554352104,0
L3,T1,2,TAKEOFF,6.05,0.120178347883564,0.0979573907464891,0.0696217271989319,0.0616735992882351,0.120178347883564,0.0379150832440014,0
L3,T1,3,WP1,6.92,0.500536815589821,0.498954304406927,0.0397706660064712,0.517073419485591,0.552031038824634,0.022890447288297,0
L3,T1,4,WP2,4.405,0.372872275588897,0.344091802674429,0.143647364177363,0.389170752253475,0.400983117372193,0.050442707257201,0
L3,T1,5,WP3,10.51,0.682158100529047,0.680162300369193,0.0521432572235867,0.717180869085274,0.789216435750728,0.0413612874930874,0
L3,T1,6,PRE-LAND,14.475,0.491780641099033,0.450656765259159,0.196867160506591,0.513878300894956,0.529771537925906,0.0315008813552107,0
L3,T2,2,TAKEOFF,6.05,0.120178347883564,0.0979573907464891,0.0696217271989319,0.0616735992882351,0.120178347883564,0.0379150832440014,0
L3,T2,3,WP1,10.22,0.438012979225335,0.437977299735751,0.00559060694687652,0.427482050901093,0.448592802399854,0.0229317958471815,0
L3,T2,4,WP2,13.595,0.85779882362293,0.8546199418437,0.0737805991569056,0.810486979368091,0.85779882362293,0.0359316428111737,0
L3,T2,5,WP3,19.18,0.847817098965359,0.846525907010537,0.0467730911745563,0.79214457461787,0.847817098965358,0.0552669331353303,0
L3,T2,6,PRE-LAND,10.605,0.599185309288142,0.599165002115432,0.00493306261261761,0.629868418922877,0.65398519638165,0.0296677105121022,0
