Quantity,Axis,Unit,MeanError,RMSE,MAE,P95AbsoluteError,MaximumError
Position,N,m,-0.0537115413055791,0.160262802402198,0.133294183549029,0.289437821394093,0.445420482223075
Position,E,m,-0.0198137483803764,0.302925538501179,0.248893268497838,0.596232713361831,0.806490816668238
Position,D,m,-0.0321962252014509,0.0712731829554896,0.0576234800682085,0.145503419250622,0.220813982234633
Velocity,N,m/s,-0.00444809119905203,0.0594203953928106,0.0483504087397335,0.103361328805982,0.135945864917173
Velocity,E,m/s,-0.0202760383692962,0.060559729453846,0.049216186589204,0.114590016105775,0.143048386702236
Velocity,D,m/s,0.00242350637413879,0.0228131147537992,0.0175968487450621,0.047527955790028,0.0790031577783821
Attitude,Roll,deg,-0.0296130390005894,0.0417678734591768,0.0353719860891427,0.0738019225841389,0.101039301852354
Attitude,Pitch,deg,-0.0255388825531711,0.0593370537495306,0.0502344545756964,0.105726349766324,0.142609800658466
Attitude,Yaw,deg,-0.00892212678163928,0.0441524292241528,0.035581155415097,0.0886938116235759,0.110881241561137
Angular Rate,p,rad/s,-7.2197688677692e-05,0.00364482849235817,0.00291235290516447,0.00708653926559967,0.0154747132853535
Angular Rate,q,rad/s,-2.38187333759954e-05,0.0035627319315762,0.00283855142368803,0.00697056395283711,0.0147298083200708
Angular Rate,r,rad/s,-5.25528005519197e-05,0.00363992987058224,0.00290631852635989,0.00709579475079656,0.014212023507265
Acceleration,N,m/s^2,0.00704111944479523,0.0468141561104511,0.0373787932185312,0.0917469378504238,0.199918378685995
Acceleration,E,m/s^2,-0.00881181935957414,0.0476787767815133,0.0379300962635554,0.0942773298236586,0.187602910615421
Acceleration,D,m/s^2,-0.0370774508457747,0.059213604542407,0.0479524807692866,0.11503590577162,0.218454130795031
