Quantity,Axis,Unit,MeanError,RMSE,MAE,P95AbsoluteError,MaximumError
Position,N,m,-0.0677933090089987,0.278103114317374,0.222706212681999,0.526723549112223,0.609367190813592
Position,E,m,-0.103082522286812,0.287652647714739,0.225390499570525,0.607148434556566,0.802023073920971
Position,D,m,-0.0423451144389573,0.0799216421276102,0.0623269811317893,0.169151472103601,0.241641207199692
Velocity,N,m/s,-0.0158833774682333,0.0587904584586759,0.044220845463104,0.121105566278252,0.142872360594915
Velocity,E,m/s,-0.0155606380533136,0.0559663066333699,0.0431267516498635,0.121240662108912,0.161327262426783
Velocity,D,m/s,-0.00314021681905106,0.0226994643163084,0.0170362515949368,0.0476327629782384,0.0782729493739779
Attitude,Roll,deg,0.00121864502825608,0.0596458975952626,0.04975813109836,0.121119779056198,0.150036144161909
Attitude,Pitch,deg,-0.0379000022366301,0.0733098316887119,0.0546288830649538,0.169852037385066,0.213471964501133
Attitude,Yaw,deg,0.0220168774433697,0.0625152930966611,0.0502104330734907,0.116663551443681,0.147176225384641
Angular Rate,p,rad/s,-1.23295597954708e-05,0.00364991661448323,0.00291296631922077,0.00712179556630038,0.0154569592970744
Angular Rate,q,rad/s,-5.21893866327762e-06,0.00358316372458686,0.00285863768233825,0.00706087856267879,0.0146574149106495
Angular Rate,r,rad/s,-2.18694018395886e-05,0.00364840205152414,0.00291767495140915,0.00710561252126891,0.0141307849603011
Acceleration,N,m/s^2,-0.00837011876754648,0.0486780277506808,0.0388420143393567,0.0950371218081364,0.195912252190204
Acceleration,E,m/s^2,0.00455624665437439,0.0479546736500784,0.0381546185135921,0.0939478441214179,0.180814181135867
Acceleration,D,m/s^2,-0.0354492414336854,0.0583280533144633,0.047120279912553,0.113480895307825,0.220873283456392
